"","Black","White","Asian","Hispanic","Latino","Unkonwn","Other","subject_age"
"525",1,0,0,0,0,0,0,"30.0"
"526",0,0,0,0,0,1,0,"U"
"527",0,0,0,0,0,1,0,"21.0"
"528",0,0,0,0,0,1,0,"U"
"529",0,0,0,0,0,1,0,"28.0"
"530",0,0,0,0,0,1,0,"U"
"531",0,0,0,0,0,1,0,"U"
"532",0,0,0,0,0,1,0,"U"
"533",0,0,0,0,0,1,0,"49.0"
"534",0,1,0,0,0,0,0,"U"
"535",0,0,0,0,0,1,0,"U"
"536",1,0,0,0,0,0,0,"25.0"
"537",0,0,0,0,0,1,0,"31.0"
"538",0,0,0,1,0,0,0,"U"
"539",0,0,0,0,0,1,0,"U"
"540",0,1,0,0,0,0,0,"U"
"541",0,0,0,0,0,1,0,"U"
"542",0,1,0,0,0,0,0,"U"
"543",0,0,0,0,1,0,0,"25.0"
"544",0,1,0,0,0,0,0,"58.0"
"545",1,0,0,0,0,0,0,"4.0"
"546",0,0,0,0,0,1,0,"U"
"547",0,0,0,0,0,1,0,"U"
"548",0,1,0,0,0,0,0,"67.0"
"549",0,0,0,0,0,1,0,"U"
"550",0,4,0,1,0,0,0,"U"
"551",5,1,0,0,3,0,0,"U"
"552",0,1,0,0,0,0,0,"18.0"
"553",0,0,0,0,0,1,0,"U"
"554",0,0,0,0,0,1,0,"U"
"555",0,1,0,0,0,0,0,"20.0"
"556",0,1,0,0,0,0,0,"51.0"
"557",0,1,0,0,0,0,0,"25.0"
"558",0,0,1,0,0,0,0,"53.0"
"559",0,2,0,0,1,0,0,"22.0"
"560",0,1,0,0,0,0,0,"25.0"
"561",0,0,0,0,0,1,0,"U"
"562",0,0,0,0,0,1,0,"U"
"563",0,1,0,0,0,0,0,"U"
"564",0,0,0,0,0,1,0,"U"
"565",1,0,0,0,0,0,0,"63.0"
"566",0,0,1,0,0,0,0,"25.0"
"567",0,0,0,0,0,1,0,"U"
"568",0,0,0,0,1,0,0,"55.0"
"569",0,0,0,0,0,1,0,"44.0"
"570",0,1,0,0,0,0,0,"25.0"
"571",0,0,0,0,0,1,0,"U"
"572",0,1,0,0,0,0,0,"U"
